Score,Text
4.0,"It is a nice made necklace, and the butterfly pendant looks beautiful. I love it."
4.0,"I bought this necklace on a whim; I love butterflies and it looked so dainty and sweet. It was actually a little more weighty than I expected, although it's not a solid piece. The chain is shiny and nicer than I expected."
5.0,"Bought via gold box ,it is much better than I thought!the chain is also great!"
,I love this necklace. It is great for everyday wear and is very durable and cute. I have small children and they love it.
5.0,"Love this butterfly pendant. Right size, high quality and elegant design. Plus, it is really easy to wear and remove all by myself, no help needed."
5.0,"I bought this as a graduation gift for my daughter. She wanted a ring to remind her of her college completion without having a ""class ring"". She also requested a wide band. When I ordered it, I thought that it would do until I found something ""nicer"". That changed when the ring arrived. The picture does not begin to do it justice. It is a beautiful ring, elegant and feminine without having a ""little girl"" look. And, as lovely as it was in the box, it looks 100 times better on her hands. The only caveat I have is to order a larger than normal size. My daughter wears a size 5 ring but wide bands usually do better with a larger ring. I ordered a 6 and it fits perfectly. Final notes: The shipping was fast and the presentation (box) is beautiful as well."
3.0,"The locket has a very nice appearance and there is a inner plastic cover that holds the photo in nicely. The negative is the very little use of silver in this locket, there is absolutely no heft to this, it almost feels like it is made out of foil. Opening the locket is very difficult and it felt like it would just break because it had to be pried on so much to open. Being somewhat handy I was able to adjust the latch to a more reasonable level."
1.0,"I have generally had very good experience ordering jewelry from Amazon sellers, so I ordered two of these necklace pendants, one for myself and one for my mother. Both arrived with very badly tarnished chains (about half the chain rust colored on both). In addition, the actual pendants were scratched and ""used looking""."
5.0,"A beautiful, delicate little bracelet. I feel I ""got what I paid for""....something that does not happen too often these days!!!!"
5.0,I think it's a lovely ring. The silver part of the ring is very well done. The stone I received is darker than shown but I am still pleased with the overall look of the ring.
4.0,"This item is very beautiful and dainty, but a lot smaller than I thought. The stones could also be better, but the design is so catching that it makes up for it. I should also add that Charoite is a very hard stone to find at a good price, so if you are looking at affordable, this is it. Trust me, I spent several hours searching. Overall I really like this pendant."
4.0,"I love this pendant. My only complaint was that the stone needs to be polished but, other than that, it's perfect. The design really stands out and I get compliments on it often. :)"
5.0,"I bought this for my mother and she loves it. Says she gets tons of compliments. Comes just as pendant, but you can put it on a silver chain, a cord, or anything else really."
5.0,
5.0,"I decided to write a review for this product as I've seen many reviews for items by this seller that were fairly contradictory. I am an avid fan of sterling silver and personally own over 100 rings (purchased from various sellers and artisans).Here is what I can tell you from my extensive experience: substantial sterling is expensive and shiny finishes scratch no matter how careful you are.Taking that into account, I ordered this item with some trepidation- it seemed to be awfully cheap for real sterling, and it's very shiny.The sterling is somewhat thin, HOWEVER it is not as thin as I was expecting it to be. It does not bend with normal usage. I even squeezed it onto a larger finger and then did some tugging to get it back off and the ring did NOT bend. That is a decent thickness for the price.I also wear many rings at the same time and have not found my rings to have scratched the surface of this one (yet).I have purchased rings from major retailers (when they were on sale they were about the same price as this) and the sterling was much flimsier and the surfaces easier to scratch.Added to the fact that it is well-made (solid, the scrollwork is not sticking out and the stone is not loose), the details charming, and the stone genuine, I can honestly say that I've NEVER FOUND A BETTER DEAL for a genuine sterling silver ring!I loved the ring so much that I have ordered several more and some other items from Silver Insanity.I am extremely satisfied with their products and find their prices excellent (reasonable and appropriate).These ""armor"" rings are a bit smaller than what some people may have been expecting but that is why you should read the specifications carefully and also the weight listings.I found that the 3 ""armor"" rings that I have purchased all reach to about 1 centimeter BEHIND my middle knuckle (as in, does not go past my middle knuckle).One note- the sizes seem a tad bit small- if you are a half size, order up!Hope this helps!"
3.0,"THE RING IS BEAUTIFUL BUT THIN, FOR SPECIAL OCCASSIONS ONLY. I LEFT IT IN MY PURSE AND IT GOT PANCAKED BEFORE I WAS ABLE TO WEAR IT. I WAS ABLE TO FIX IT AS MUCH AS I COULD BUT THE SHAPE IS DISTORTED. VERY NICE OTHERWISE. ALSO IT RUNS A LITTLE SMALL, I WEAR A LOOSE 7 AND THIS RING IS SNUG"
4.0,"I really liked this ring. It is very pretty and just the right size for me.The silver is very thin, however, and bends very easily. I put it on my middle finger, and when I took it off, it was bent out of shape. The good thing is that it was bent to mold to my finger and was very comfortable, even for being so wide."
5.0,"When a dance student is at my dance studio for fifteen years they receive this pointe shoe, in rememberence of me and everyone else whom they had danced with over the years."
4.0,"I love this ring. This is a nice heavy ring, it spins nicely & is really cute, well worth the money. I think mine was a 2ND as some of the feet were ""smeared"" but I didn't care & kept it rather than contacting the company. I've had a lot of complaments on it."
5.0,"I bought these earrings as a gift for my girlfriend, and she absolutely loved them! They got to my house in a timely manner, and they were in pristine condition. I am normally cautious about using any online shopping site, but using yours was quite quick, efficient, and gratifying. Thank you!"
1.0,"when i opened the box, i was expecting two elephant charms. what did i get? one. come on. who would buy one?"
